iter	Passed	Remaining
880	1246	168
881	1247	166
882	1248	165
883	1249	163
884	1250	162
885	1251	161
886	1252	159
887	1253	158
888	1254	156
889	1256	155
890	1256	153
891	1258	152
892	1259	150
893	1260	149
894	1261	147
895	1262	146
896	1263	145
897	1264	143
898	1265	142
899	1266	140
900	1267	139
901	1268	137
902	1269	136
903	1271	134
904	1272	133
905	1273	132
906	1274	130
907	1275	129
908	1276	127
909	1277	126
910	1278	124
911	1279	123
912	1280	122
913	1281	120
914	1282	119
915	1283	117
916	1284	116
917	1285	114
918	1287	113
919	1287	111
920	1288	110
921	1290	109
922	1291	107
923	1292	106
924	1293	104
925	1294	103
926	1295	102
927	1296	100
928	1297	99
929	1299	97
930	1300	96
931	1301	94
932	1302	93
933	1303	92
934	1304	90
935	1305	89
936	1306	87
937	1307	86
938	1308	85
939	1310	83
940	1311	82
941	1313	80
942	1314	79
943	1315	78
944	1316	76
945	1317	75
946	1319	73
947	1320	72
948	1321	71
949	1322	69
950	1323	68
951	1325	66
952	1326	65
953	1327	64
954	1328	62
955	1329	61
956	1330	59
957	1332	58
958	1333	57
959	1334	55
960	1336	54
961	1337	52
962	1338	51
963	1339	50
964	1340	48
965	1341	47
966	1342	45
967	1343	44
968	1344	43
969	1345	41
970	1346	40
971	1348	38
972	1349	37
973	1350	36
974	1351	34
975	1352	33
976	1353	31
977	1354	30
978	1356	29
979	1357	27
980	1358	26
981	1360	24
982	1361	23
983	1362	22
984	1364	20
985	1365	19
986	1367	18
987	1368	16
988	1369	15
989	1370	13
990	1371	12
991	1372	11
992	1373	9
993	1374	8
994	1375	6
995	1376	5
996	1377	4
997	1378	2
998	1379	1
999	1380	0
